judge_id,model_label,plot_label,provider,provider_label,measure,s_e,t_score,t_count,obs_avge,fair_mavge,infit_ms,infit_z,outfit_ms,outfit_z,facet_id,source_run,source_path,source_mtime_iso,aa_model_name,aa_model_slug,aa_intelligence_index,aa_source_url,aa_match_type,aa_match_notes,aa_retrieved_at_utc
openai_gpt-5.4-nano_medium,GPT-5.4 Nano (Medium),GPT-5.4 Nano,openai,OpenAI,0.3,0.08,893.0,700.0,1.28,0.99,0.83,-2.03,1.09,0.35,20043,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 nano (medium),gpt-5-4-nano-medium,38.1081376572266,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4-nano_high,GPT-5.4 Nano (High),GPT-5.4 Nano,openai,OpenAI,0.26,0.08,899.0,700.0,1.28,1.02,0.85,-1.75,1.03,0.21,20041,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 nano (xhigh),gpt-5-4-nano,43.9769365878793,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports xhigh but not high for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4-nano_low,GPT-5.4 Nano (Low),GPT-5.4 Nano,openai,OpenAI,0.17,0.09,887.0,680.0,1.3,1.08,1.12,1.23,1.39,1.03,20042,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 nano (medium),gpt-5-4-nano-medium,38.1081376572266,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports medium but not low for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4-mini_xhigh,GPT-5.4 Mini (XHigh),GPT-5.4 Mini,openai,OpenAI,0.11,0.11,618.0,500.0,1.24,1.12,0.92,-0.67,1.26,0.65,20040,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 mini (xhigh),gpt-5-4-mini,48.9036610318343,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4-nano_xhigh,GPT-5.4 Nano (XHigh),GPT-5.4 Nano,openai,OpenAI,0.1,0.09,873.0,670.0,1.3,1.13,0.83,-1.9,0.94,-0.03,20045,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 nano (xhigh),gpt-5-4-nano,43.9769365878793,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4-mini_high,GPT-5.4 Mini (High),GPT-5.4 Mini,openai,OpenAI,0.07,0.09,896.0,680.0,1.32,1.15,0.88,-1.27,1.15,0.52,20036,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 mini (xhigh),gpt-5-4-mini,48.9036610318343,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports xhigh but not high for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4-mini_low,GPT-5.4 Mini (Low),GPT-5.4 Mini,openai,OpenAI,0.07,0.09,926.0,700.0,1.32,1.15,0.96,-0.44,1.3,0.89,20037,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 mini (medium),gpt-5-4-mini-medium,37.7279484883146,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports medium but not low for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4-mini_none,GPT-5.4 Mini (None),GPT-5.4 Mini,openai,OpenAI,0.01,0.09,934.0,700.0,1.33,1.19,1.1,1.06,1.18,0.61,20039,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 mini (Non-Reasoning),gpt-5-4-mini-non-reasoning,23.2789847340485,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4-mini_medium,GPT-5.4 Mini (Medium),GPT-5.4 Mini,openai,OpenAI,-0.03,0.09,939.0,700.0,1.34,1.21,0.95,-0.48,1.39,1.12,20038,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 mini (medium),gpt-5-4-mini-medium,37.7279484883146,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openrouter_deepseek_deepseek-v3.2,DeepSeek V3.2,DeepSeek V3.2,deepseek,DeepSeek,-0.1,0.09,949.0,700.0,1.36,1.26,0.94,-0.68,0.89,-0.22,20051,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,DeepSeek V3.2 (Non-reasoning),deepseek-v3-2,32.085077469663,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA non-reasoning row because the run has no reasoning suffix.,2026-05-19T17:36:34+00:00
