comment_id,judge_id,provider,model,text,target_groups,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hate_speech
20001,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,"[""A""]",A,A,E,E,A,E,E,E,E,A
20002,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them","[""A""]",A,A,E,E,A,E,E,E,E,A
20003,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,#whitepower...I'll hang you nigger,"[""A""]",A,A,E,E,A,E,E,D,E,A
20004,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes,"[""G""]",A,A,E,D,A,D,E,D,E,A
20005,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL","[""D"", ""E""]",A,A,E,E,A,E,E,A,E,A
20006,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,DO YOU SEE HOW QUICK THE PROSECUTED THAT BLACK COP IN MPLS. MN. FOR KILLING THAT WHITE NIGGA??? GUESS BARR HAND A HAND IN THAT TO HUH. THESE NIGGA'S ARE GONNA GET THEIR DAY!!,"[""A""]",A,A,D,C,B,D,C,B,D,A
20007,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,"[""A"", ""C""]",A,A,E,E,A,E,D,B,E,A
20008,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,"[""A"", ""D""]",A,A,E,E,A,D,D,B,E,A
20009,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!","[""B""]",A,A,E,E,A,D,E,D,E,A
20010,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.","[""B""]",A,A,E,E,A,E,E,D,E,A
20011,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?","[""A"", ""B""]",A,A,E,E,A,E,E,D,E,A
20012,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26","[""A""]",A,A,E,E,A,E,E,E,E,A
20013,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself","[""D""]",A,A,E,D,B,C,D,A,E,A
20014,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant","[""A"", ""C""]",A,A,E,D,A,D,A,A,E,A
20015,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""","[""A""]",A,A,E,E,A,E,A,A,E,A
20016,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!,"[""A"", ""B"", ""C""]",A,A,E,E,A,E,D,B,E,A
20017,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.","[""A"", ""B"", ""C""]",A,A,E,D,A,E,C,B,E,A
20018,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…","[""B""]",A,A,E,E,A,E,D,B,E,A
20019,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,"[""A"", ""B""]",A,A,E,E,A,E,B,B,E,A
20020,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country","[""A"", ""C""]",A,A,E,D,A,D,D,B,E,A
20021,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth,"[""A""]",A,A,E,E,A,E,B,A,E,A
20022,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,"[""A"", ""C""]",A,A,E,E,A,E,B,B,E,A
20023,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,Every gook in #LosAngeles should be deported or killed.,"[""A"", ""C""]",A,A,E,E,A,E,E,E,E,A
20024,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"Yes, in barbaric, authoritarian cultures that have since been condemned. Interesting that Christians desire to perpetuate the same idea.","[""B""]",B,B,C,B,B,B,A,A,D,B
20025,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,@L1LTR4P fucking losers wetbacks #SorryNotSorry,"[""A"", ""C""]",A,A,E,D,A,D,B,A,E,A
20026,anthropic_claude-opus-4-6_medium,anthropic,claude-opus-4-6,"Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!","[""B"", ""D""]",A,A,E,E,A,E,B,A,E,A
