judge_id,model_label,aa_model_name,aa_model_slug,aa_intelligence_index,aa_source_url,aa_match_type,aa_match_notes,aa_retrieved_at_utc
openai_gpt-5.4-nano_medium,GPT-5.4 Nano (Medium),GPT-5.4 nano (medium),gpt-5-4-nano-medium,38.1081376572266,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4-nano_high,GPT-5.4 Nano (High),GPT-5.4 nano (xhigh),gpt-5-4-nano,43.9769365878793,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports xhigh but not high for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4-nano_low,GPT-5.4 Nano (Low),GPT-5.4 nano (medium),gpt-5-4-nano-medium,38.1081376572266,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports medium but not low for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4-mini_xhigh,GPT-5.4 Mini (XHigh),GPT-5.4 mini (xhigh),gpt-5-4-mini,48.9036610318343,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4-nano_xhigh,GPT-5.4 Nano (XHigh),GPT-5.4 nano (xhigh),gpt-5-4-nano,43.9769365878793,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4-mini_high,GPT-5.4 Mini (High),GPT-5.4 mini (xhigh),gpt-5-4-mini,48.9036610318343,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports xhigh but not high for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4-mini_low,GPT-5.4 Mini (Low),GPT-5.4 mini (medium),gpt-5-4-mini-medium,37.7279484883146,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports medium but not low for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4-mini_none,GPT-5.4 Mini (None),GPT-5.4 mini (Non-Reasoning),gpt-5-4-mini-non-reasoning,23.2789847340485,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4-mini_medium,GPT-5.4 Mini (Medium),GPT-5.4 mini (medium),gpt-5-4-mini-medium,37.7279484883146,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openrouter_deepseek_deepseek-v3.2,DeepSeek V3.2,DeepSeek V3.2 (Non-reasoning),deepseek-v3-2,32.085077469663,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA non-reasoning row because the run has no reasoning suffix.,2026-05-19T17:36:34+00:00
openai_gpt-5.2_high,GPT-5.2 (High),GPT-5.2 (xhigh),gpt-5-2,51.2765852164605,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports xhigh but not high for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4-nano_none,GPT-5.4 Nano (None),GPT-5.4 nano (Non-Reasoning),gpt-5-4-nano-non-reasoning,24.3621414800889,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
