observed_score,expected_score,observed_count,obs_exp_average,beta_jm,beta_se,t,df,p_value,infit_mnsq,outfit_mnsq,beta_sequence,judge_id,judge_label,judge_measure,target_id,target_identity,target_anchor,comment_count,mean_target_share
813.0,748.27,540,0.12,-0.57,0.1,-5.94,539,0.0,1.3,1.2,70,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,8,target_race_middle_eastern,0.0,54,0.7824074074074074
2242.0,2115.18,1400,0.09,-0.44,0.06,-7.24,1399,0.0,1.6,1.2,97,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,11,target_religion_jewish,0.0,140,0.9029205981843774
730.0,683.0,540,0.09,-0.38,0.09,-4.18,539,0.0,0.8,0.6,64,20002,anthropic_claude-opus-4-6_medium,-0.37,8,target_race_middle_eastern,0.0,54,0.7824074074074074
2068.0,1943.8,1400,0.09,-0.38,0.06,-6.77,1399,0.0,1.0,1.0,91,20002,anthropic_claude-opus-4-6_medium,-0.37,11,target_religion_jewish,0.0,140,0.9029205981843774
732.0,686.98,540,0.08,-0.37,0.09,-4.01,539,0.0001,1.0,1.7,69,20007,openrouter_minimax_minimax-m2.5,-0.4,8,target_race_middle_eastern,0.0,54,0.7824074074074074
1989.0,1865.73,1400,0.09,-0.36,0.06,-6.61,1399,0.0,1.2,1.1,93,20004,google_gemini-3.1-pro-preview_medium,-0.14,11,target_religion_jewish,0.0,140,0.9029205981843774
540.0,485.78,600,0.09,-0.35,0.08,-4.43,599,0.0,1.7,1.6,134,20009,together_openai_gpt-oss-120b,-0.77,15,target_sexuality_lesbian,0.0,60,0.9541666666666667
3867.0,3596.04,3180,0.09,-0.34,0.04,-9.58,3179,0.0,0.9,0.7,102,20004,google_gemini-3.1-pro-preview_medium,-0.14,12,target_religion_muslim,0.0,320,0.9067195281502043
3873.0,3607.93,3200,0.08,-0.33,0.04,-9.34,3199,0.0,1.0,0.8,104,20006,openai_gpt-5.4_medium,-0.11,12,target_religion_muslim,0.0,320,0.9067195281502043
266.0,223.22,650,0.07,-0.32,0.08,-3.79,649,0.0002,0.9,0.8,114,20007,openrouter_minimax_minimax-m2.5,-0.4,13,target_sexuality_bisexual,0.0,65,0.9461538461538461
230.0,191.96,650,0.06,-0.31,0.09,-3.56,649,0.0004,0.9,0.5,111,20004,google_gemini-3.1-pro-preview_medium,-0.14,13,target_sexuality_bisexual,0.0,65,0.9461538461538461
6610.0,6220.65,5140,0.08,-0.3,0.03,-10.65,5139,0.0,1.0,1.0,32,20006,openai_gpt-5.4_medium,-0.11,4,target_origin,0.0,514,0.8706126766397814
3006.0,2847.75,2080,0.08,-0.29,0.04,-6.65,2079,0.0,1.3,1.0,9,20010,xai_grok-4-1-fast-reasoning,-0.73,1,target_gender_men,0.0,208,0.9314903846153846
4088.0,3869.07,3190,0.07,-0.28,0.04,-7.82,3189,0.0,1.2,1.0,103,20005,moonshot_kimi-k2.5,-0.46,12,target_religion_muslim,0.0,320,0.9067195281502043
5082.0,4863.95,3310,0.07,-0.27,0.04,-7.58,3309,0.0,1.2,1.0,79,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,9,target_race_white,0.0,331,0.8998389553319518
4022.0,3812.21,3200,0.07,-0.27,0.04,-7.46,3199,0.0,0.8,0.6,100,20002,anthropic_claude-opus-4-6_medium,-0.37,12,target_religion_muslim,0.0,320,0.9067195281502043
2056.0,1973.79,1400,0.06,-0.25,0.06,-4.52,1399,0.0,1.4,1.4,94,20005,moonshot_kimi-k2.5,-0.46,11,target_religion_jewish,0.0,140,0.9029205981843774
4408.0,4224.57,3200,0.06,-0.25,0.04,-6.69,3199,0.0,1.5,1.2,106,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,12,target_religion_muslim,0.0,320,0.9067195281502043
4920.0,4722.69,3310,0.06,-0.24,0.04,-6.73,3309,0.0,1.2,0.9,81,20010,xai_grok-4-1-fast-reasoning,-0.73,9,target_race_white,0.0,331,0.8998389553319518
2907.0,2762.63,2230,0.06,-0.24,0.04,-5.89,2229,0.0,1.1,0.7,90,20010,xai_grok-4-1-fast-reasoning,-0.73,10,target_religion_christian,0.0,223,0.9326795550777839
4023.0,3837.17,3200,0.06,-0.24,0.04,-6.61,3199,0.0,1.1,2.6,105,20007,openrouter_minimax_minimax-m2.5,-0.4,12,target_religion_muslim,0.0,320,0.9067195281502043
4275.0,4097.28,3200,0.06,-0.24,0.04,-6.42,3199,0.0,1.3,0.9,108,20010,xai_grok-4-1-fast-reasoning,-0.73,12,target_religion_muslim,0.0,320,0.9067195281502043
714.0,688.66,530,0.05,-0.21,0.09,-2.3,529,0.022,1.2,1.0,67,20005,moonshot_kimi-k2.5,-0.46,8,target_race_middle_eastern,0.0,54,0.7824074074074074
4287.0,4127.11,3200,0.05,-0.21,0.04,-5.79,3199,0.0,1.4,1.6,107,20009,together_openai_gpt-oss-120b,-0.77,12,target_religion_muslim,0.0,320,0.9067195281502043
10921.0,10546.87,7960,0.05,-0.2,0.02,-8.51,7959,0.0,0.8,0.7,19,20002,anthropic_claude-opus-4-6_medium,-0.37,3,target_gender_women,0.0,796,0.9538741725988515
7917.0,7641.54,5810,0.05,-0.2,0.03,-7.33,5809,0.0,1.4,1.5,53,20009,together_openai_gpt-oss-120b,-0.77,6,target_race_black,0.0,581,0.9536350436473721
