observed_score,expected_score,observed_count,obs_exp_average,bias_size,model_se,t,df,p_value,infit_mnsq,outfit_mnsq,bias_sequence,judge_id,judge_label,judge_measure,item_id,item_label,item_measure
231.0,233.71,70,-0.04,0.17,0.25,0.7,69,0.4893,0.4,0.3,1,20002,anthropic_claude-opus-4-6_medium,-0.49,1,sentiment,-2.63
232.0,234.55,70,-0.04,0.17,0.25,0.66,69,0.5145,0.5,0.3,2,20003,deepseek_deepseek-v4-pro,-0.54,1,sentiment,-2.63
233.0,230.07,70,0.04,-0.19,0.26,-0.73,69,0.468,0.5,0.3,3,20004,google_gemini-3.1-pro-preview_medium,-0.26,1,sentiment,-2.63
210.0,212.88,65,-0.04,0.18,0.25,0.74,64,0.4624,0.5,0.6,4,20005,moonshot_kimi-k2.5,-0.43,1,sentiment,-2.63
228.0,228.81,70,-0.01,0.05,0.24,0.2,69,0.8433,0.4,0.2,5,20006,openai_gpt-5.4_medium,-0.18,1,sentiment,-2.63
235.0,232.39,70,0.04,-0.17,0.26,-0.67,69,0.5078,0.6,0.6,6,20007,openrouter_minimax_minimax-m2.5,-0.4,1,sentiment,-2.63
235.0,244.26,70,-0.13,0.59,0.26,2.29,69,0.025,0.6,0.3,7,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-1.16,1,sentiment,-2.63
239.0,237.82,70,0.02,-0.08,0.25,-0.3,69,0.7644,2.6,1.2,8,20009,together_openai_gpt-oss-120b,-0.76,1,sentiment,-2.63
230.0,237.08,70,-0.1,0.46,0.25,1.85,69,0.0684,0.7,0.3,9,20010,xai_grok-4-1-fast-reasoning,-0.71,1,sentiment,-2.63
220.0,226.6,70,-0.09,0.32,0.22,1.47,69,0.1459,0.4,0.2,10,20002,anthropic_claude-opus-4-6_medium,-0.49,2,respect,-2.27
220.0,227.7,70,-0.11,0.37,0.22,1.72,69,0.0891,0.6,0.3,11,20003,deepseek_deepseek-v4-pro,-0.54,2,respect,-2.27
214.0,221.83,70,-0.11,0.36,0.21,1.71,69,0.0918,0.3,0.3,12,20004,google_gemini-3.1-pro-preview_medium,-0.26,2,respect,-2.27
200.0,205.44,65,-0.08,0.26,0.22,1.21,64,0.2317,0.7,0.4,13,20005,moonshot_kimi-k2.5,-0.43,2,respect,-2.27
213.0,220.24,70,-0.1,0.33,0.21,1.57,69,0.1209,0.6,2.0,14,20006,openai_gpt-5.4_medium,-0.18,2,respect,-2.27
217.0,224.86,70,-0.11,0.37,0.22,1.74,69,0.087,0.6,0.5,15,20007,openrouter_minimax_minimax-m2.5,-0.4,2,respect,-2.27
227.0,239.04,70,-0.17,0.65,0.22,2.92,69,0.0047,1.2,0.4,16,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-1.16,2,respect,-2.27
233.0,231.87,70,0.02,-0.06,0.23,-0.26,69,0.7947,0.6,0.9,17,20009,together_openai_gpt-oss-120b,-0.76,2,respect,-2.27
224.0,230.95,70,-0.1,0.35,0.22,1.59,69,0.1167,0.7,0.2,18,20010,xai_grok-4-1-fast-reasoning,-0.71,2,respect,-2.27
150.0,149.04,70,0.01,-0.05,0.23,-0.22,69,0.8236,0.8,0.3,19,20002,anthropic_claude-opus-4-6_medium,-0.49,3,insult,-0.95
150.0,150.05,70,0.0,0.0,0.23,0.01,69,0.9901,0.5,0.2,20,20003,deepseek_deepseek-v4-pro,-0.54,3,insult,-0.95
